Date,HMD_pct
1/1/2005,0.845
1/2/2005,0.829
1/3/2005,0.859
1/4/2005,0.834
1/5/2005,0.834
1/6/2005,0.84
1/7/2005,0.851
1/8/2005,0.803
1/9/2005,0.778
1/10/2005,0.828
1/11/2005,0.836
1/12/2005,0.84
1/13/2005,0.83
1/14/2005,0.845
1/15/2005,0.844
1/16/2005,0.84
1/17/2005,0.805
1/18/2005,0.839
1/19/2005,0.822
1/20/2005,0.824
1/21/2005,0.794
1/22/2005,0.789
1/23/2005,0.773
1/24/2005,0.795
1/25/2005,0.834
1/26/2005,0.787
1/27/2005,0.816
1/28/2005,0.778
1/29/2005,0.785
1/30/2005,0.815
1/31/2005,0.846
2/1/2005,0.856
2/2/2005,0.828
2/3/2005,0.871
2/4/2005,0.882
2/5/2005,0.875
2/6/2005,0.862
2/7/2005,0.814
2/8/2005,0.89
2/9/2005,0.888
2/10/2005,0.885
2/11/2005,0.908
2/12/2005,0.885
2/13/2005,0.859
2/14/2005,0.947
2/15/2005,0.91
2/16/2005,0.96
2/17/2005,0.927
2/18/2005,0.935
2/19/2005,0.89
2/20/2005,0.884
2/21/2005,0.914
2/22/2005,0.905
2/23/2005,0.941
2/24/2005,0.78
2/25/2005,0.81
2/26/2005,0.83
2/27/2005,0.82
2/28/2005,0.8
3/1/2005,0.84
3/2/2005,0.88
3/3/2005,1
3/4/2005,0.97
3/5/2005,0.82
3/6/2005,0.84
3/7/2005,0.84
3/8/2005,0.86
3/9/2005,0.89
3/10/2005,0.94
3/11/2005,0.88
3/12/2005,0.79
3/13/2005,0.82
3/14/2005,0.86
3/15/2005,0.83
3/16/2005,0.85
3/17/2005,0.82
3/18/2005,0.832
3/19/2005,0.841
3/20/2005,0.867
3/21/2005,0.884
3/22/2005,0.866
3/23/2005,0.855
3/24/2005,0.845
3/25/2005,0.835
3/26/2005,0.88
3/27/2005,0.898
3/28/2005,0.813
3/29/2005,0.808
3/30/2005,0.811
3/31/2005,0.828
4/1/2005,0.823
4/2/2005,0.823
4/3/2005,0.846
4/4/2005,0.846
4/5/2005,0.835
4/6/2005,0.817
4/7/2005,0.855
4/8/2005,0.846
4/9/2005,0.862
4/10/2005,0.815
4/11/2005,0.818
4/12/2005,0.84
4/13/2005,0.855
4/14/2005,0.836
4/15/2005,0.847
4/16/2005,0.836
4/17/2005,0.875
4/18/2005,0.829
4/19/2005,0.826
4/20/2005,0.822
4/21/2005,0.863
4/22/2005,0.846
4/23/2005,0.83
4/24/2005,0.891
4/25/2005,0.868
4/26/2005,0.857
4/27/2005,0.858
4/28/2005,0.863
4/29/2005,0.805
4/30/2005,0.754
5/1/2005,0.98
5/2/2005,0.93
5/3/2005,0.787
5/4/2005,0.776
5/5/2005,0.751
5/6/2005,0.84
5/7/2005,0.83
5/8/2005,0.83
5/9/2005,0.83
5/10/2005,0.82
5/11/2005,0.82
5/12/2005,0.831
5/13/2005,0.841
5/14/2005,0.783
5/15/2005,0.75
5/16/2005,0.719
5/17/2005,0.695
5/18/2005,0.695
5/19/2005,0.727
5/20/2005,0.76
5/21/2005,0.766
5/22/2005,0.79
5/23/2005,0.745
5/24/2005,0.834
5/25/2005,0.829
5/26/2005,0.806
5/27/2005,0.775
5/28/2005,0.713
5/29/2005,0.762
5/30/2005,0.849
5/31/2005,0.912
6/1/2005,0.846
6/2/2005,0.88
6/3/2005,0.906
6/4/2005,0.822
6/5/2005,0.795
6/6/2005,0.81
6/7/2005,0.873
6/8/2005,0.848
6/9/2005,0.86
6/10/2005,0.832
6/11/2005,0.739
6/12/2005,0.78
6/13/2005,0.851
6/14/2005,0.85
6/15/2005,0.87
6/16/2005,0.898
6/17/2005,0.903
6/18/2005,0.85
6/19/2005,0.846
6/20/2005,0.869
6/21/2005,0.823
6/22/2005,0.807
6/23/2005,0.813
6/24/2005,0.748
6/25/2005,0.738
6/26/2005,0.77
6/27/2005,0.783
6/28/2005,0.871
6/29/2005,0.881
6/30/2005,0.961
7/1/2005,0.925
7/2/2005,0.915
7/3/2005,0.732
7/4/2005,0.611
7/5/2005,0.644
7/6/2005,0.821
7/7/2005,0.866
7/8/2005,0.859
7/9/2005,0.839
7/10/2005,0.838
7/11/2005,0.825
7/12/2005,0.728
7/13/2005,0.862
7/14/2005,0.822
7/15/2005,0.865
7/16/2005,0.82
7/17/2005,0.778
7/18/2005,0.747
7/19/2005,0.83
7/20/2005,0.899
7/21/2005,0.842
7/22/2005,0.867
7/23/2005,0.828
7/24/2005,0.859
7/25/2005,0.844
7/26/2005,0.83
7/27/2005,0.773
7/28/2005,0.779
7/29/2005,0.785
7/30/2005,0.808
7/31/2005,0.813
8/1/2005,0.82
8/2/2005,0.828
8/3/2005,0.919
8/4/2005,0.885
8/5/2005,0.81
8/6/2005,0.794
8/7/2005,0.901
8/8/2005,0.874
8/9/2005,0.846
8/10/2005,0.816
8/11/2005,0.845
8/12/2005,0.749
8/13/2005,0.809
8/14/2005,0.804
8/15/2005,0.878
8/16/2005,0.833
8/17/2005,0.937
8/18/2005,0.897
8/19/2005,0.85
8/20/2005,0.858
8/21/2005,0.859
8/22/2005,0.857
8/23/2005,0.852
8/24/2005,0.859
8/25/2005,0.852
8/26/2005,0.843
8/27/2005,0.798
8/28/2005,0.802
8/29/2005,0.913
8/30/2005,0.89
8/31/2005,0.848
9/1/2005,0.917
9/2/2005,0.865
9/3/2005,0.892
9/4/2005,0.899
9/5/2005,0.917
9/6/2005,0.868
9/7/2005,0.906
9/8/2005,0.962
9/9/2005,0.888
9/10/2005,0.908
9/11/2005,0.874
9/12/2005,0.898
9/13/2005,0.866
9/14/2005,0.883
9/15/2005,0.888
9/16/2005,0.894
9/17/2005,0.851
9/18/2005,0.835
9/19/2005,0.888
9/20/2005,0.898
9/21/2005,0.868
9/22/2005,0.892
9/23/2005,0.918
9/24/2005,0.881
9/25/2005,0.88
9/26/2005,0.864
9/27/2005,0.883
9/28/2005,0.885
9/29/2005,0.94
9/30/2005,0.84
10/1/2005,0.82
10/2/2005,0.85
10/3/2005,0.852
10/4/2005,0.836
