Date,Temp_max,Temp_min
1/1/2005,30.2,25.6
1/2/2005,31.4,25.3
1/3/2005,31.4,25.3
1/4/2005,31.9,25.3
1/5/2005,31.9,26.8
1/6/2005,31.4,25.3
1/7/2005,30.8,24.9
1/8/2005,30.8,24.9
1/9/2005,31.4,25.3
1/10/2005,31.4,26.8
1/11/2005,30.2,26
1/12/2005,31.9,26
1/13/2005,31.4,26.4
1/14/2005,31.4,25.6
1/15/2005,31.9,26
1/16/2005,30.8,26.4
1/17/2005,30.2,26
1/18/2005,29,25.3
1/19/2005,29,25.3
1/20/2005,30.2,24.9
1/21/2005,30.2,25.6
1/22/2005,31.9,25.6
1/23/2005,31.4,25.6
1/24/2005,31.4,26
1/25/2005,31.9,26
1/26/2005,31.4,26
1/27/2005,31.9,26
1/28/2005,32.5,26
1/29/2005,31.4,26
1/30/2005,30.8,25.6
1/31/2005,31.4,26.4
2/1/2005,27.9,24.9
2/2/2005,30.2,27.1
2/3/2005,30.8,26
2/4/2005,31.9,26.8
2/5/2005,31.9,27.1
2/6/2005,31.9,26.8
2/7/2005,31.9,26
2/8/2005,31.4,26
2/9/2005,31.4,26
2/10/2005,31.9,26.4
2/11/2005,31.4,27.1
2/12/2005,31.9,26.8
2/13/2005,30.8,26.8
2/14/2005,31.9,26.8
2/15/2005,29,26
2/16/2005,29,26.4
2/17/2005,30.8,26.4
2/18/2005,31.4,26
2/19/2005,31.4,26
2/20/2005,31.4,25.6
2/21/2005,30.8,24.9
2/22/2005,31.9,24.9
2/23/2005,31.9,25.6
2/24/2005,31.9,26.8
2/25/2005,31.4,26
2/26/2005,31.4,26.4
2/27/2005,31.4,26.4
2/28/2005,31.9,27.1
3/1/2005,31.9,26
3/2/2005,31.4,26.4
3/3/2005,30.8,25.6
3/4/2005,31.9,25.6
3/5/2005,31.9,27.5
3/6/2005,31.9,27.9
3/7/2005,31.9,25.3
3/8/2005,31.9,25.3
3/9/2005,31.9,25.6
3/10/2005,31.9,25.3
3/11/2005,30.8,25.3
3/12/2005,31.9,26
3/13/2005,31.4,25.6
3/14/2005,29,24.9
3/15/2005,30.2,25.3
3/16/2005,30.8,24.5
3/17/2005,31.4,27.1
3/18/2005,31.4,26.8
3/19/2005,31.4,27.1
3/20/2005,30.8,26
3/21/2005,31.4,25.6
3/22/2005,31.4,26.4
3/23/2005,31.4,27.1
3/24/2005,31.4,25.3
3/25/2005,30.8,24.9
3/26/2005,31.4,26.4
3/27/2005,31.4,26
3/28/2005,30.8,26
3/29/2005,32.5,26.8
3/30/2005,31.9,27.1
3/31/2005,31.4,26.4
4/1/2005,31.9,26.8
4/2/2005,31.4,26.8
4/3/2005,30.2,26
4/4/2005,31.4,26.4
4/5/2005,30.8,25.3
4/6/2005,29.6,25.6
4/7/2005,31.4,26
4/8/2005,31.4,26.4
4/9/2005,31.4,25.3
4/10/2005,31.9,25.6
4/11/2005,31.4,26
4/12/2005,31.4,26.4
4/13/2005,31.4,25.6
4/14/2005,31.4,26
4/15/2005,31.9,26
4/16/2005,30.2,25.3
4/17/2005,31.9,26
4/18/2005,31.4,26
4/19/2005,30.8,26
4/20/2005,30.2,26
4/21/2005,29.6,25.6
4/22/2005,28.5,25.3
4/23/2005,28.5,25.6
4/24/2005,29.6,25.6
4/25/2005,30.8,24.5
4/26/2005,30.2,24.5
4/27/2005,30.2,24.5
4/28/2005,30.8,24.9
4/29/2005,31.4,24.9
4/30/2005,30.8,25.6
5/1/2005,30.8,26
5/2/2005,29.6,24.5
5/3/2005,30.2,25.6
