Date,SRD_wpm2
1/1/2005,15.147
1/2/2005,14.518
1/3/2005,16.409
1/4/2005,17.352
1/5/2005,21.679
1/6/2005,15.056
1/7/2005,13.746
1/8/2005,18.812
1/9/2005,23.098
1/10/2005,19.763
1/11/2005,15.253
1/12/2005,24.521
1/13/2005,20.685
1/14/2005,14.153
1/15/2005,15.984
1/16/2005,16.039
1/17/2005,16.93
1/18/2005,9.561
1/19/2005,12.329
1/20/2005,18.299
1/21/2005,17.6
1/22/2005,20.682
1/23/2005,22.454
1/24/2005,19.279
1/25/2005,24.401
1/26/2005,14.637
1/27/2005,15.962
1/28/2005,25.976
1/29/2005,19.94
1/30/2005,16.617
1/31/2005,15.096
2/1/2005,3.801
2/2/2005,12.772
2/3/2005,11.744
2/4/2005,23.576
2/5/2005,16.283
2/6/2005,12.344
2/7/2005,11.608
2/8/2005,13.414
2/9/2005,26.767
2/10/2005,21.899
2/11/2005,21.65
2/12/2005,24.321
2/13/2005,26.052
2/14/2005,23.057
2/15/2005,11.871
2/16/2005,2.701
2/17/2005,11.586
2/18/2005,19.13
2/19/2005,20.866
2/20/2005,21.268
2/21/2005,24.694
2/22/2005,28.514
2/23/2005,24.494
2/24/2005,25.11
2/25/2005,22.834
2/26/2005,12.9
2/27/2005,18.572
2/28/2005,21.735
3/1/2005,26.191
3/2/2005,18.59
3/3/2005,12.739
3/4/2005,16.509
3/5/2005,20.595
3/6/2005,24.586
3/7/2005,24.023
3/8/2005,24.082
3/9/2005,20.962
3/10/2005,25.679
3/11/2005,21.051
3/12/2005,19.296
3/13/2005,23.026
3/14/2005,7.507
3/15/2005,13.634
3/16/2005,9.02
3/17/2005,19.362
3/18/2005,25.71
3/19/2005,25.033
3/20/2005,23.355
3/21/2005,22.966
3/22/2005,23.745
3/23/2005,23.793
3/24/2005,24.299
3/25/2005,23.193
3/26/2005,14.439
3/27/2005,1.469
3/28/2005,21.299
3/29/2005,22.885
3/30/2005,16.589
3/31/2005,20.02
